-1	4.47059	6.24	8.12121
-0.99	4.43574	6.18422	8.04463
-0.98	4.40095	6.12851	7.96812
-0.97	4.36622	6.07287	7.89166
-0.96	4.33156	6.0173	7.81527
-0.95	4.29697	5.9618	7.73895
-0.94	4.26244	5.90637	7.66269
-0.93	4.22798	5.85103	7.5865
-0.92	4.19359	5.79576	7.51039
-0.91	4.15927	5.74056	7.43434
-0.9	4.12502	5.68545	7.35837
-0.89	4.09085	5.63043	7.28248
-0.88	4.05674	5.57548	7.20667
-0.87	4.02272	5.52063	7.13093
-0.86	3.98876	5.46586	7.05529
-0.85	3.95489	5.41119	6.97972
-0.84	3.92109	5.3566	6.90425
-0.83	3.88737	5.30212	6.82886
-0.82	3.85373	5.24773	6.75357
-0.81	3.82017	5.19344	6.67838
-0.8	3.7867	5.13925	6.60328
-0.79	3.75331	5.08517	6.52828
-0.78	3.72	5.0312	6.45339
-0.77	3.68678	4.97733	6.37861
-0.76	3.65365	4.92358	6.30394
-0.75	3.62061	4.86995	6.22938
-0.74	3.58765	4.81643	6.15494
-0.73	3.55479	4.76303	6.08062
-0.72	3.52202	4.70976	6.00642
-0.71	3.48935	4.65661	5.93235
-0.7	3.45677	4.6036	5.85842
-0.69	3.42429	4.55072	5.78462
-0.68	3.39191	4.49797	5.71096
-0.67	3.35963	4.44537	5.63745
-0.66	3.32745	4.39291	5.56409
-0.65	3.29537	4.34059	5.49088
-0.64	3.26339	4.28843	5.41783
-0.63	3.23152	4.23642	5.34494
-0.62	3.19976	4.18457	5.27223
-0.61	3.16811	4.13289	5.19969
-0.6	3.13656	4.08137	5.12733
-0.59	3.10513	4.03002	5.05516
-0.58	3.07381	3.97884	4.98318
-0.57	3.04261	3.92785	4.9114
-0.56	3.01152	3.87704	4.83982
-0.55	2.98055	3.82641	4.76846
-0.54	2.94969	3.77598	4.69732
-0.53	2.91896	3.72575	4.62641
-0.52	2.88835	3.67572	4.55573
-0.51	2.85787	3.6259	4.48529
-0.5	2.82751	3.5763	4.41511
-0.49	2.79727	3.52691	4.34519
-0.48	2.76717	3.47774	4.27553
-0.47	2.73719	3.4288	4.20615
-0.46	2.70734	3.3801	4.13706
-0.45	2.67763	3.33164	4.06827
-0.44	2.64805	3.28342	3.99978
-0.43	2.61861	3.23546	3.93162
-0.42	2.58931	3.18775	3.86378
-0.41	2.56014	3.14031	3.79628
-0.4	2.53112	3.09314	3.72913
-0.39	2.50223	3.04624	3.66235
-0.38	2.4735	2.99963	3.59595
-0.37	2.4449	2.9533	3.52993
-0.36	2.41645	2.90727	3.46431
-0.35	2.38815	2.86155	3.39912
-0.34	2.36	2.81613	3.33435
-0.33	2.332	2.77102	3.27002
-0.32	2.30415	2.72624	3.20616
-0.31	2.27646	2.68178	3.14277
-0.3	2.24891	2.63766	3.07986
-0.29	2.22153	2.59389	3.01746
-0.28	2.1943	2.55046	2.95559
-0.27	2.16723	2.50738	2.89425
-0.26	2.14033	2.46467	2.83346
-0.25	2.11358	2.42233	2.77324
-0.24	2.08699	2.38036	2.71361
-0.23	2.06057	2.33877	2.65459
-0.22	2.03431	2.29757	2.59618
-0.21	2.00822	2.25676	2.53841
-0.2	1.98229	2.21636	2.4813
-0.19	1.95654	2.17636	2.42486
-0.18	1.93095	2.13677	2.36911
-0.17	1.90553	2.0976	2.31407
-0.16	1.88028	2.05885	2.25975
-0.15	1.8552	2.02053	2.20616
-0.14	1.83029	1.98265	2.15333
-0.13	1.80556	1.9452	2.10127
-0.12	1.781	1.9082	2.05
-0.11	1.75662	1.87164	1.99952
-0.1	1.7324	1.83554	1.94985
-0.09	1.70837	1.79989	1.90101
-0.08	1.68451	1.7647	1.853
-0.07	1.66083	1.72997	1.80584
-0.06	1.63732	1.69571	1.75953
-0.05	1.61399	1.66191	1.71408
-0.04	1.59083	1.62859	1.6695
-0.03	1.56786	1.59573	1.6258
-0.02	1.54506	1.56335	1.58298
-0.01	1.52244	1.53144	1.54105
7.5287e-16	1.5	1.5	1.5
0.01	1.47774	1.46904	1.45984
0.02	1.45565	1.43855	1.42056
0.03	1.43374	1.40853	1.38217
0.04	1.41201	1.37899	1.34466
0.05	1.39046	1.34991	1.30802
0.06	1.36908	1.32131	1.27225
0.07	1.34788	1.29317	1.23735
0.08	1.32686	1.2655	1.2033
0.09	1.30602	1.23829	1.1701
0.1	1.28535	1.21154	1.13773
0.11	1.26485	1.18524	1.10619
0.12	1.24453	1.1594	1.07545
0.13	1.22438	1.134	1.04552
0.14	1.20441	1.10905	1.01636
0.15	1.18461	1.08453	0.987981
0.16	1.16498	1.06045	0.960352
0.17	1.14553	1.0368	0.933462
0.18	1.12624	1.01357	0.907294
0.19	1.10713	0.990756	0.881832
0.2	1.08818	0.968356	0.857059
0.21	1.0694	0.946362	0.832959
0.22	1.05078	0.924769	0.809514
0.23	1.03233	0.903569	0.786707
0.24	1.01405	0.882757	0.764521
0.25	0.99593	0.862327	0.742939
0.26	0.977972	0.842271	0.721944
0.27	0.960175	0.822583	0.701519
0.28	0.942538	0.803258	0.681647
0.29	0.925059	0.784287	0.662313
0.3	0.907738	0.765665	0.643499
0.31	0.890573	0.747384	0.625189
0.32	0.873562	0.729439	0.607369
0.33	0.856705	0.711822	0.590023
0.34	0.84	0.694526	0.573135
0.35	0.823446	0.677545	0.556692
0.36	0.80704	0.660873	0.540678
0.37	0.790783	0.644503	0.52508
0.38	0.774672	0.628428	0.509885
0.39	0.758705	0.612642	0.495079
0.4	0.742883	0.597138	0.480649
0.41	0.727202	0.581911	0.466583
