0	45303.6	10.7211
1e-05	42928.8	10.6673
2e-05	40860.8	10.6179
3e-05	38965.8	10.5704
4e-05	36953.2	10.5174
5e-05	35133.8	10.4669
6e-05	33398.4	10.4163
7e-05	31987.6	10.3731
8e-05	30316.4	10.3194
9e-05	28810.8	10.2685
0.0001	27410	10.2187
0.00011	26092.2	10.1694
0.00012	24799.6	10.1186
0.00013	23513	10.0653
0.00014	22492.4	10.0209
0.00015	21363.2	9.96943
0.00016	20317.8	9.91925
0.00017	19247.4	9.86513
0.00018	18445.4	9.82257
0.00019	17564.4	9.77363
0.0002	16713.4	9.72397
0.00021	15773.4	9.66608
0.00022	15130.2	9.62445
0.00023	14297.4	9.56783
0.00024	13759.4	9.52948
0.00025	12947.6	9.46867
0.00026	12402.8	9.42568
0.00027	11773	9.37356
0.00028	11147.4	9.31896
0.00029	10518.4	9.26088
0.0003	10107.8	9.22106
0.00031	9642	9.17388
0.00032	9137.2	9.12011
0.00033	8661.6	9.06665
0.00034	8280.8	9.02169
0.00035	7900.6	8.97469
0.00036	7525.8	8.92609
0.00037	7121.2	8.87083
0.00038	6727.2	8.81391
0.00039	6508.4	8.78085
0.0004	6078.2	8.71246
0.00041	5829.2	8.67064
0.00042	5504.2	8.61327
0.00043	5307.8	8.57693
0.00044	4965.8	8.51033
0.00045	4761.8	8.46838
0.00046	4569	8.42705
0.00047	4293.8	8.36493
0.00048	4099	8.3185
0.00049	3887.6	8.26555
0.0005	3770.8	8.23504
0.00051	3563.6	8.17853
0.00052	3375.4	8.12427
0.00053	3210.2	8.07409
0.00054	3058.2	8.02558
0.00055	2869	7.96172
0.00056	2778.6	7.9297
0.00057	2594	7.86096
0.00058	2507.2	7.82692
0.00059	2370.2	7.77073
0.0006	2275.4	7.72991
0.00061	2115.2	7.6569
0.00062	2000	7.6009
0.00063	1946.6	7.57384
0.00064	1836	7.51534
0.00065	1740.8	7.4621
0.00066	1649.4	7.40817
0.00067	1577.6	7.36366
0.00068	1501.2	7.31402
0.00069	1444.8	7.27573
0.0007	1336	7.19744
0.00071	1302.4	7.17196
0.00072	1234	7.11802
0.00073	1171	7.06561
0.00074	1087.6	6.99173
0.00075	1060.8	6.96678
0.00076	1019.2	6.92677
0.00077	953.8	6.86045
0.00078	908.2	6.81146
0.00079	833.2	6.72527
0.0008	849.4	6.74453
0.00081	777.2	6.6557
0.00082	750.2	6.62034
0.00083	716.4	6.57424
0.00084	671.8	6.50996
0.00085	642.8	6.46583
0.00086	616	6.42325
0.00087	574.6	6.35367
0.00088	572.8	6.35054
0.00089	546.8	6.30408
0.0009	505.2	6.22495
0.00091	474.2	6.16163
0.00092	471.8	6.15656
0.00093	420.4	6.04121
0.00094	429.4	6.06239
0.00095	397.2	5.98444
0.00096	370.4	5.91458
0.00097	351	5.86079
0.00098	341.2	5.83247
0.00099	316	5.75574
0.001	326	5.7869
0.00101	292.4	5.67812
0.00102	274.4	5.61459
0.00103	268.4	5.59248
0.00104	239.6	5.47897
0.00105	249.6	5.51986
0.00106	234	5.45532
0.00107	218.2	5.38541
0.00108	215.4	5.3725
0.00109	195	5.273
0.0011	191.2	5.25332
0.00111	172	5.14749
0.00112	165.8	5.11078
0.00113	150	5.01064
0.00114	158	5.0626
0.00115	138	4.92725
0.00116	143	4.96284
0.00117	123.4	4.81543
0.00118	120.6	4.79248
0.00119	126	4.83628
0.0012	112.2	4.72028
0.00121	103.6	4.64054
0.00122	104.2	4.60631
0.00123	104.2	4.58631
0.00124	100.6	4.55115
0.00125	91	4.51086
0.00126	81.8	4.40428
0.00127	72.2	4.27944
0.00128	69.4	4.23989
0.00129	65.8	4.18662
0.0013	67.4	4.21065
0.00131	64.2	4.162
0.00132	64.8	4.09131
0.00133	53.4	3.97781
0.00134	54.4	3.99636
0.00135	52.8	3.96651
0.00136	53.2	3.97406
0.00137	50.6	3.92395
0.00138	42.2	3.74242
0.00139	44	3.78419
0.0014	38.2	3.64284
0.00141	37.2	3.61631
0.00142	36.8	3.6055
0.00143	32.8	3.49043
0.00144	36	3.58352
0.00145	30.4	3.41444
0.00146	25.2	3.22684
0.00147	25.8	3.25037
0.00148	26.6	3.28091
0.00149	29.6	3.38777
0.0015	24.2	3.18635
0.00151	22.2	3.10009
0.00152	23.8	3.16969
0.00153	22.8	3.12676
0.00154	22.2	3.10009
0.00155	19.6	2.97553
0.00156	19.6	2.97553
0.00157	15.6	2.74727
0.00158	17.6	2.8679
0.00159	14.6	2.68102
0.0016	14.8	2.69463
0.00161	12.8	2.54945
0.00162	16.4	2.79728
0.00163	14.2	2.65324
0.00164	13.2	2.58022
0.00165	10.4	2.34181
0.00166	12.4	2.5177
0.00167	9.6	2.26176
0.00168	9.6	2.26176
0.00169	8.8	2.17475
0.0017	9.8	2.28238
0.00171	7.6	2.02815
0.00172	8.2	2.10413
0.00173	9.4	2.24071
0.00174	7	1.94591
0.00175	5.6	1.72277
0.00176	7.2	1.97408
0.00177	6.6	1.88707
0.00178	7.2	1.97408
0.00179	6	1.79176
0.0018	6	1.79176
0.00181	5.8	1.75786
0.00182	4.2	1.43508
0.00183	4	1.38629
0.00184	5.2	1.64866
0.00185	4.6	1.52606
0.00186	2.6	0.955511
0.00187	4.4	1.4816
0.00188	4.6	1.52606
0.00189	4.8	1.56862
0.0019	4	1.38629
0.00191	2.6	0.955511
0.00192	2.2	0.788457
0.00193	3.6	1.28093
0.00194	3.2	1.16315
0.00195	1.4	0.336472
0.00196	2.4	0.875469
0.00197	3.6	1.28093
0.00198	2.2	0.788457
