6900	8.83928	1.00675	0.006727	1.00541	0.00539968	1.00859	0.00855481
7000	8.85367	1.00609	0.00607126	1.00523	0.00521845	1.00789	0.00785533
7100	8.86785	1.0062	0.00617665	1.00511	0.0050939	1.00859	0.00854996
7200	8.88184	1.00599	0.00597318	1.00504	0.00502771	1.00845	0.00840987
7300	8.89563	1.00589	0.00586859	1.00501	0.00499267	1.0085	0.00846828
7400	8.90924	1.00634	0.0063218	1.00509	0.00508022	1.00924	0.00919782
7500	8.92266	1.00572	0.00570615	1.00497	0.0049537	1.0082	0.00816442
7600	8.9359	1.00552	0.00550169	1.00495	0.00493343	1.0078	0.00776954
7700	8.94898	1.00569	0.0056696	1.00497	0.00496237	1.00808	0.0080509
7800	8.96188	1.00497	0.00495642	1.00479	0.00478125	1.00664	0.00662153
7900	8.97462	1.00537	0.00535624	1.00484	0.00482661	1.00751	0.00748325
8000	8.9872	1.00582	0.00580049	1.00468	0.00467306	1.00839	0.00835562
8100	8.99962	1.00614	0.00612017	1.00469	0.0046835	1.00914	0.00909796
8200	9.01189	1.00622	0.00620488	1.0047	0.00468731	1.00915	0.00910783
8300	9.02401	1.00682	0.0067997	1.00491	0.00489499	1.01011	0.0100614
8400	9.03599	1.00701	0.0069849	1.00489	0.00488234	1.01063	0.0105756
8500	9.04782	1.00719	0.00715979	1.005	0.00498733	1.01077	0.0107076
8600	9.05952	1.00714	0.00710991	1.00509	0.00507498	1.0106	0.0105434
8700	9.07108	1.00694	0.00691997	1.00511	0.00509731	1.01021	0.0101564
8800	9.08251	1.0073	0.00727008	1.00525	0.00523805	1.01051	0.01046
8900	9.09381	1.00729	0.00726488	1.00519	0.00517935	1.0108	0.0107463
9000	9.10498	1.00717	0.00714362	1.00505	0.0050374	1.01093	0.0108683
9100	9.11603	1.00722	0.00719206	1.00535	0.00533139	1.01069	0.01063
9200	9.12696	1.00705	0.00702268	1.00535	0.00533176	1.01013	0.0100783
9300	9.13777	1.00763	0.00760379	1.00541	0.00539212	1.01115	0.011091
9400	9.14846	1.00736	0.00733196	1.00529	0.00527348	1.0107	0.0106423
9500	9.15905	1.00731	0.00728141	1.00525	0.0052329	1.01063	0.0105766
9600	9.16952	1.00725	0.00722228	1.00527	0.00525335	1.01031	0.0102549
9700	9.17988	1.00705	0.00702034	1.0053	0.0052861	1.00991	0.00985762
9800	9.19014	1.00717	0.00713988	1.00519	0.00518114	1.01034	0.0102857
9900	9.20029	1.0071	0.00707238	1.00525	0.00523497	1.01017	0.0101162
10000	9.21034	1.00732	0.00729306	1.00537	0.00535229	1.01026	0.0102109
10100	9.22029	1.00671	0.0066839	1.00522	0.00520837	1.00927	0.00923029
10200	9.23014	1.00711	0.00708516	1.00549	0.00547655	1.00937	0.00932935
10300	9.2399	1.0076	0.0075683	1.0055	0.00548458	1.01002	0.00996825
10400	9.24956	1.00681	0.00678986	1.00517	0.00515964	1.00953	0.00948189
10500	9.25913	1.00567	0.00565124	1.00494	0.00493076	1.00773	0.00770099
10600	9.26861	1.00573	0.00570953	1.00498	0.00496753	1.00754	0.00750987
10700	9.278	1.00537	0.00535682	1.00491	0.00489911	1.00676	0.0067338
10800	9.2873	1.00553	0.00551761	1.00491	0.00489415	1.00674	0.00672169
10900	9.29652	1.00536	0.00534754	1.00487	0.00485562	1.00632	0.00630273
11000	9.30565	1.00469	0.00467577	1.00468	0.00466898	1.00524	0.00522903
11100	9.3147	1.00479	0.00477487	1.0048	0.00478548	1.00498	0.00496754
11200	9.32367	1.00512	0.00510766	1.00471	0.00469875	1.00593	0.0059112
11300	9.33256	1.00472	0.00470659	1.00459	0.00457543	1.00517	0.0051608
11400	9.34137	1.00457	0.00455559	1.00466	0.00465235	1.00461	0.00459514
11500	9.3501	1.00489	0.00487499	1.00482	0.00480581	1.00493	0.00491723
11600	9.35876	1.00449	0.00448082	1.00474	0.00472963	1.00433	0.00431834
11700	9.36734	1.00448	0.00447307	1.00476	0.0047493	1.00433	0.00432402
11800	9.37585	1.00435	0.00433688	1.00472	0.00471221	1.00422	0.00421218
11900	9.38429	1.0045	0.0044878	1.00471	0.00470177	1.00446	0.00445035
12000	9.39266	1.00451	0.00449595	1.00467	0.00465768	1.00481	0.00479422
12100	9.40096	1.00441	0.00440268	1.00465	0.0046409	1.00495	0.00493407
12200	9.40919	1.00447	0.00445945	1.00467	0.00465498	1.00513	0.00511821
